batch_size,id,kernel,grid,block,family,kernel_ms,sm_pct,tensor_pct,dram_pct,dram_gbps,l2_pct,l2_hit_pct,occupancy_pct,theoretical_occupancy_pct,registers_per_thread,shared_bytes_per_block,replay_passes
1,0,void Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x128_32x5_nn_align8>(Params),"(64, 2, 1)","(128, 1, 1)",cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x128_32x5_nn_align8,0.6042879999999999,74.57,74.57,36.43,265.569370896,63.69,87.77,8.33,8.33,224,82944,11
1,1,void Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x128_32x5_nn_align8>(Params),"(64, 2, 1)","(128, 1, 1)",cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x128_32x5_nn_align8,0.603808,74.55,74.55,36.47,265.79956542477,63.71,87.77,8.33,8.33,224,82944,11
1,2,void Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x128_32x5_nn_align8>(Params),"(64, 2, 1)","(128, 1, 1)",cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x128_32x5_nn_align8,0.603776,74.41,74.41,36.47,265.83379266483,63.74,87.76,8.33,8.33,224,82944,11
1,3,void Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x128_32x5_nn_align8>(Params),"(64, 2, 1)","(128, 1, 1)",cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x128_32x5_nn_align8,0.6048319999999999,74.39,74.39,36.4,265.33516745146,63.61,87.77,8.33,8.33,224,82944,11
1,4,void Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x128_32x5_nn_align8>(Params),"(64, 2, 1)","(128, 1, 1)",cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x128_32x5_nn_align8,0.6048319999999999,74.58,74.58,36.4,265.32056504947,63.62,87.77,8.33,8.33,224,82944,11
1,5,void Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x128_32x5_nn_align8>(Params),"(64, 2, 1)","(128, 1, 1)",cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x128_32x5_nn_align8,0.604448,74.49,74.49,36.44,265.612790513,63.69,87.76,8.33,8.33,224,82944,11
5,0,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_nn_align8>(T1::Params),"(304, 8, 1)","(256, 1, 1)",cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_nn_align8,2.391232,91.1,91.1,36.16,263.55517490566,61.32,89.5,16.66,16.67,215,74752,11
5,1,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_nn_align8>(T1::Params),"(304, 8, 1)","(256, 1, 1)",cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_nn_align8,2.3944,91.56,91.56,36.8,268.2318476445,61.24,90.26,16.66,16.67,215,74752,11
5,2,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_32x3_nn,"(8, 38, 3)","(256, 1, 1)",ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_32x3_nn,2.305472,94.03,94.03,33.2,242.01476834245003,62.63,89.32,16.63,16.67,218,74752,11
5,3,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_nn_align8>(T1::Params),"(304, 8, 1)","(256, 1, 1)",cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_nn_align8,2.393536,91.74,91.74,37.28,271.75309500254,61.27,89.59,16.66,16.67,215,74752,11
5,4,void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_nn_align8>(T1::Params),"(304, 8, 1)","(256, 1, 1)",cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_nn_align8,2.390784,91.62,91.62,36.16,263.58207516865,61.51,90.0,16.66,16.67,215,74752,11
5,5,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_32x3_nn,"(8, 38, 3)","(256, 1, 1)",ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_32x3_nn,2.303136,94.05,94.05,33.17,241.82318369389003,62.69,89.35,16.63,16.67,218,74752,11
