batch_size,kernel_key,grid,block,static_shared,dynamic_shared,kernel_ms,sm_pct,tensor_pct,dram_pct,dram_gbps,l2_pct,l2_hit_pct,occupancy_pct,theoretical_occupancy_pct,registers_per_thread,shared_bytes_per_block,replay_passes,l2_gbps,l1_hit_pct,active_warps_per_scheduler,eligible_warps_per_scheduler,issued_warps_per_scheduler,no_eligible_pct,issue_active_pct,warp_cycles_barrier,warp_cycles_branch_resolving,warp_cycles_dispatch_stall,warp_cycles_drain,warp_cycles_imc_miss,warp_cycles_lg_throttle,warp_cycles_long_scoreboard,warp_cycles_math_pipe_throttle,warp_cycles_membar,warp_cycles_mio_throttle,warp_cycles_misc,warp_cycles_no_instruction,warp_cycles_not_selected,warp_cycles_selected,warp_cycles_short_scoreboard,warp_cycles_sleeping,warp_cycles_tex_throttle,warp_cycles_wait,stage,reference_total_ms,reference_count,samples,stage_rejected
1,ampere_bf16_s16816gemm_bf16_128x128_ldg8_f2f_stages_32x5_nn,"(9, 2, 5)","(128, 1, 1)",49152,32768,0.043296,39.09,39.09,46.61,339.50036954915004,36.42,74.55,8.33,8.33,222.0,82944.0,17.0,992.1212121212101,0.0,1.01,0.11,0.11,88.74,11.26,0.41,0.15,0.0,0.0,0.26,0.14,0.43,3.15,0.0,0.18,0.0,0.07,0.0,1.0,0.05,0.0,0.0,3.1,vlm_embed,34.844163,810.0,1,
1,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_nt,"(18, 4, 1)","(128, 1, 1)",49152,32768,0.012992,32.9,32.9,39.66,288.35467980296005,62.77,84.87,8.33,8.33,146.0,82944.0,17.0,1703.51231527094,0.0,0.97,0.11,0.11,89.48,10.52,1.1,0.14,0.0,0.0,0.52,0.05,2.2,1.93,0.0,0.14,0.0,0.12,0.0,1.0,0.13,0.0,0.0,2.12,vlm_embed,10.161276,810.0,1,
1,copy_fusion,"(3, 1, 1)","(128, 1, 1)",0,0,0.0025919999999999997,0.03,0.0,0.3,2.12345679012,0.97,94.95,7.41,100.0,16.0,1024.0,17.0,25.91358024691,23.15,1.02,0.02,0.02,97.89,2.11,0.0,0.62,0.11,0.57,23.43,0.0,14.99,0.0,0.0,0.0,0.08,3.08,0.0,1.0,0.74,0.0,0.0,2.65,unattributed,0.021376,10.0,1,
1,cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x128_32x5_nn_align8,"(64, 2, 1)","(128, 1, 1)",0,81920,0.606112,74.55,74.55,36.32,264.71717438361003,63.48,87.77,8.33,8.33,224.0,82944.0,17.0,1730.9794625415802,0.0,1.0,0.13,0.13,87.0,13.0,0.01,0.02,0.0,0.0,0.02,0.0,0.02,3.76,0.0,0.0,0.0,0.03,0.0,1.0,0.01,0.0,0.0,2.81,vlm_prefill,116.394846,180.0,1,
1,fusion_101,"(484, 1, 1)","(256, 1, 1)",0,16512,0.11692799999999999,9.77,0.0,52.66,383.79967159278004,35.59,33.65,32.25,33.33,114.0,17536.0,17.0,399.40257252326006,3.49,3.85,0.15,0.09,90.83,9.17,7.11,0.03,0.07,0.45,0.28,7.24,3.99,0.12,0.0,16.15,0.0,0.03,0.67,1.0,4.78,0.0,0.0,0.69,,,,1,
1,fusion_107,"(121, 1, 1)","(256, 1, 1)",0,256,0.0184,7.6,0.0,80.35,584.1669565217401,28.05,36.16,23.67,50.0,80.0,1280.0,17.0,676.81217391304,1.22,2.86,0.12,0.09,91.22,8.78,0.61,0.01,0.04,0.58,1.11,2.02,23.92,0.08,0.0,0.27,0.0,0.08,0.37,1.0,1.16,0.0,0.0,0.97,,,,1,
1,fusion_108,"(121, 1, 1)","(256, 1, 1)",0,256,0.011824,9.774999999999999,0.0,74.18,538.82741942576,26.43,52.985,23.33,50.0,80.0,1280.0,17.0,716.606303771125,1.8,2.8,0.18,0.12,88.095,11.905,0.59,0.01,0.04,0.785,1.43,0.6200000000000001,16.585,0.07,0.0,0.33999999999999997,0.0,0.165,0.45999999999999996,1.0,0.82,0.0,0.0,0.82,vlm_prefill,2.655313,180.0,2,
1,fusion_188,"(256, 1, 1)","(128, 1, 1)",0,0,0.00784,21.53,0.0,53.98,393.15918367347,20.83,51.43,21.34,83.33,47.0,1024.0,17.0,566.7510204081601,0.0,2.76,0.34,0.25,75.02,24.98,0.0,0.01,0.03,0.1,1.07,0.01,5.75,0.08,0.0,0.49,0.0,0.08,0.36,1.0,0.76,0.0,0.0,1.15,,,,1,
1,fusion_480,"(20, 1, 1)","(128, 1, 1)",0,512,0.006304,2.82,0.0,7.61,54.9847715736,5.84,65.61,8.33,83.33,48.0,1536.0,17.0,158.71065989848003,11.48,1.0,0.11,0.11,88.51,11.49,1.31,0.01,0.02,0.03,0.98,0.04,2.14,0.0,0.0,0.0,0.0,0.17,0.0,1.0,1.64,0.0,0.0,1.37,,,,1,
1,fusion_506,"(80, 1, 1)","(64, 1, 1)",0,8,0.003328,1.61,0.0,1.27,9.07692307692,3.66,90.56,4.14,66.67,17.0,1032.0,17.0,98.22115384615,8.33,1.04,0.07,0.07,93.4,6.6,0.37,0.05,0.02,0.13,4.73,0.0,6.48,0.01,0.0,0.0,0.0,0.37,0.0,1.0,0.98,0.0,0.0,1.08,,,,1,
