batch_size,id,kernel,kernel_key,own_hlo_stage,grid,block,static_shared,dynamic_shared,kernel_ms,sm_pct,tensor_pct,dram_pct,dram_gbps,l2_pct,l2_hit_pct,occupancy_pct,theoretical_occupancy_pct,registers_per_thread,shared_bytes_per_block,replay_passes,l2_gbps,l1_hit_pct,active_warps_per_scheduler,eligible_warps_per_scheduler,issued_warps_per_scheduler,no_eligible_pct,issue_active_pct,warp_cycles_barrier,warp_cycles_branch_resolving,warp_cycles_dispatch_stall,warp_cycles_drain,warp_cycles_imc_miss,warp_cycles_lg_throttle,warp_cycles_long_scoreboard,warp_cycles_math_pipe_throttle,warp_cycles_membar,warp_cycles_mio_throttle,warp_cycles_misc,warp_cycles_no_instruction,warp_cycles_not_selected,warp_cycles_selected,warp_cycles_short_scoreboard,warp_cycles_sleeping,warp_cycles_tex_throttle,warp_cycles_wait,stage,reference_total_ms,reference_count,reference_stage,stage_match_conflict
1,0,input_concatenate_fusion,input_concatenate_fusion,vlm_prefill,"(1, 1, 1)","(2, 1, 1)",0,0,0.002336,0.01,0.0,0.24,1.75342465753,1.04,92.74,2.08,33.33,16,1024,17,28.49315068493,0.0,1.0,0.05,0.05,95.13,4.87,0.0,0.09,0.05,0.26,9.6,0.0,6.35,0.0,0.0,0.0,0.0,1.12,0.0,1.0,0.0,0,0,1.99,vlm_prefill,0.015872,10.0,vlm_prefill,False
1,1,wrapped_slice,wrapped_slice,vlm_prefill,"(1, 1, 1)","(2, 1, 1)",0,0,0.00224,0.0,0.0,0.18,1.31428571429,0.98,93.58,2.08,33.33,16,1024,17,26.48571428571,0.0,0.97,0.01,0.01,99.02,0.98,0.0,0.53,0.0,1.4,56.2,0.0,32.87,0.0,0.0,0.0,0.0,6.6,0.0,1.0,0.13,0,0,1.87,vlm_prefill,0.013024,10.0,vlm_prefill,False
1,2,loop_multiply_fusion,loop_multiply_fusion,action,"(3, 1, 1)","(128, 1, 1)",0,0,0.002208,0.13,0.0,0.33,2.3768115942,1.33,92.58,7.21,100.0,16,1024,17,35.92753623188,14.0,1.01,0.09,0.09,91.25,8.75,0.0,0.05,0.0,0.13,4.77,0.0,2.35,0.0,0.0,0.0,0.0,0.67,0.0,1.0,0.22,0,0,2.04,action,0.015936,10.0,action,False
1,3,wrapped_convert,wrapped_convert,vlm_embed,"(294, 1, 1)","(128, 1, 1)",0,0,0.002816,2.58,0.0,7.79,56.22727272727,11.26,82.02,24.89,100.0,16,1024,17,305.09090909091,0.0,3.07,0.05,0.04,95.66,4.34,0.0,0.35,0.06,1.55,42.36,0.0,29.59,0.09,0.0,0.26,0.02,2.08,0.21,1.0,2.09,0,0,2.5,vlm_embed,0.050721,30.0,vlm_embed,False
1,4,loop_divide_fusion,loop_divide_fusion,unknown_library_kernel,"(294, 1, 1)","(128, 1, 1)",0,0,0.003328,2.54,0.0,27.25,197.19230769231,14.72,54.42,22.08,100.0,16,1024,17,398.10576923077,2.81,2.86,0.06,0.05,94.97,5.03,0.0,0.2,0.07,0.84,17.97,0.0,33.99,0.11,0.0,0.05,0.02,1.21,0.22,1.0,0.47,0,0,1.25,unattributed,0.050592,30.0,unattributed,False
1,5,loop_multiply_fusion,loop_multiply_fusion,action,"(294, 1, 1)","(128, 1, 1)",0,0,0.003232,1.95,0.0,26.26,190.37623762376003,15.16,54.09,22.49,100.0,16,1024,17,410.40594059406004,2.81,2.85,0.04,0.03,96.76,3.24,0.0,0.3,0.22,1.29,28.46,0.0,52.74,0.16,0.0,0.0,0.0,1.83,0.27,1.0,1.06,0,0,0.92,action,0.050336,30.0,action,False
1,6,wrapped_convert,wrapped_convert,vlm_embed,"(294, 1, 1)","(128, 1, 1)",0,0,0.002656,2.63,0.0,8.43,60.86746987952,12.02,82.03,25.06,100.0,16,1024,17,323.0843373494,0.0,3.04,0.05,0.04,95.71,4.29,0.0,0.35,0.06,1.59,31.92,0.0,29.6,0.09,0.0,0.34,0.02,2.08,0.22,1.0,2.1,0,0,2.5,vlm_embed,0.050721,30.0,vlm_embed,False
1,7,input_transpose_fusion_1,input_transpose_fusion_1,vlm_embed,"(756, 1, 1)","(128, 1, 1)",4224,0,0.0072,27.14,0.0,64.26,465.70666666667,23.6,70.27,54.42,100.0,26,5248,17,638.4711111111101,1.13,6.43,0.43,0.16,83.8,16.2,2.59,0.09,0.16,1.4,4.32,0.74,23.07,1.13,0.0,1.76,0.01,0.3,1.67,1.0,0.12,0,0,1.39,vlm_embed,0.059136,10.0,vlm_embed,False
1,8,wrapped_convert,wrapped_convert,vlm_embed,"(9, 1, 1)","(128, 1, 1)",0,0,0.002368,0.07,0.0,0.31,2.21621621622,1.1,91.26,8.3,100.0,16,1024,17,29.68918918919,0.0,1.01,0.01,0.01,98.75,1.25,0.0,0.4,0.0,1.09,40.34,0.0,28.8,0.0,0.0,0.0,0.0,4.84,0.0,1.0,1.3,0,0,1.7,vlm_embed,0.015712,10.0,vlm_embed,False
1,9,"void implicit_convolve_sgemm<float, float, (int)128, (int)5, (int)5, (int)3, (int)3, (int)3, (int)1, (bool)0, (bool)0, (bool)1>(int, int, int, const T1 *, int, T2 *, const T1 *, kernel_conv_params, unsigned long long, int, float, float, int, const T2 *, const T2 *, bool, bool, int, int)","void implicit_convolve_sgemm<float, float, (int)128, (int)5, (int)5, (int)3, (int)3, (int)3, (int)1, (bool)0, (bool)0, (bool)1>(int, int, int, const T1 *, int, T2 *, const T1 *, kernel_conv_params, unsigned long long, int, float, float, int, const T2 *, const T2 *, bool, bool, int, int)",unknown_library_kernel,"(8, 36, 1)","(8, 8, 1)",2304,0,0.046784,41.08,0.0,11.98,87.2804377565,33.86,92.26,14.15,50.0,80,3328,17,923.36251709986,82.1,1.71,0.53,0.44,56.25,43.75,0.2,0.02,0.24,0.0,0.07,0.0,1.36,0.04,0.0,0.02,0.0,0.02,0.2,1.0,0.21,0,0,0.51,vlm_embed,1.220232,30.0,vlm_embed,False
1,10,loop_transpose_fusion_5,loop_transpose_fusion_5,unattributed,"(294, 1, 1)","(128, 1, 1)",0,0,0.003872,2.84,0.0,24.01,172.19834710744001,24.36,75.94,25.39,100.0,16,1024,17,655.78512396694,55.56,3.05,0.05,0.03,96.53,3.47,0.0,0.24,0.12,1.12,21.01,2.12,59.6,0.18,0.0,0.0,0.03,1.4,0.35,1.0,0.11,0,0,2.35,unattributed,0.07440000000000001,30.0,unattributed,False
1,11,loop_transpose_fusion_5,loop_transpose_fusion_5,unattributed,"(294, 1, 1)","(128, 1, 1)",0,0,0.003968,2.82,0.0,24.35,176.96774193548003,23.6,76.06,25.68,100.0,16,1024,17,638.75806451613,55.56,3.16,0.05,0.03,96.55,3.45,0.0,0.24,0.13,1.15,21.18,2.13,60.73,0.18,0.0,0.0,0.03,1.41,0.35,1.0,0.11,0,0,2.35,unattributed,0.07440000000000001,30.0,unattributed,False
1,12,input_transpose_fusion_2,input_transpose_fusion_2,vlm_embed,"(288, 1, 1)","(128, 1, 1)",12672,0,0.01072,18.44,0.0,70.32,511.54626865672003,20.78,31.63,24.41,58.33,63,13696,17,564.3313432835799,0.0,2.95,0.08,0.06,94.38,5.62,1.34,0.04,0.06,0.49,3.52,9.59,22.98,0.03,0.0,10.32,0.0,0.24,0.37,1.0,0.66,0,0,1.56,vlm_embed,0.073634,10.0,vlm_embed,False
1,13,input_reduce_fusion_2,input_reduce_fusion_2,vlm_embed,"(128, 1, 1)","(192, 1, 1)",48,0,0.003968,8.68,0.0,20.89,150.96774193548,6.59,16.02,18.51,100.0,19,1072,17,178.45161290323003,1.16,2.27,0.11,0.09,90.91,9.09,2.14,0.08,0.03,0.15,5.85,0.05,11.78,0.06,0.0,0.0,0.01,0.39,0.14,1.0,1.96,0,0,1.01,vlm_embed,1.670451,810.0,vlm_embed,False
1,14,loop_convert_fusion_6,loop_convert_fusion_6,vlm_embed,"(576, 1, 1)","(128, 1, 1)",0,0,0.0042239999999999995,9.08,0.0,21.33,155.51515151515,15.32,63.31,45.74,100.0,24,1024,17,418.0303030303,38.26,5.75,0.26,0.16,84.38,15.62,0.0,0.09,0.27,0.31,7.43,0.2,23.61,0.41,0.0,0.15,0.01,0.63,0.56,1.0,0.7,0,0,1.63,vlm_embed,2.279565,810.0,vlm_embed,False
1,15,loop_dynamic_slice_fusion_12,loop_dynamic_slice_fusion_12,vlm_embed,"(2592, 1, 1)","(128, 1, 1)",0,0,0.024288,4.96,0.0,83.75,610.18181818182,35.55,50.39,71.98,100.0,16,1024,17,661.16073781291,2.02,8.98,0.05,0.03,97.44,2.56,0.0,0.28,0.43,36.73,5.59,40.23,231.33,1.07,0.0,14.46,0.01,0.78,1.11,1.0,11.07,0,0,2.36,vlm_embed,20.481278,810.0,vlm_embed,False
1,16,gemm_fusion_dot_122_0,gemm_fusion_dot_122_0,vlm_embed,"(54, 1, 1)","(128, 1, 1)",0,49152,0.02656,49.55,49.55,54.84,399.20481927711,47.07,75.61,8.33,16.67,255,50176,17,1279.3819277108403,0.0,1.0,0.16,0.16,83.77,16.23,0.09,0.02,0.01,0.08,0.18,0.11,0.18,2.53,0.0,0.05,0.0,0.06,0.0,1.0,0.03,0,0,1.8,vlm_embed,21.024334,810.0,vlm_embed,False
1,17,loop_convert_fusion_10,loop_convert_fusion_10,vlm_embed,"(576, 1, 1)","(128, 1, 1)",0,0,0.005216,5.82,0.0,38.74,280.49079754601,20.69,57.76,43.03,100.0,20,1024,17,560.77914110429,23.91,5.25,0.11,0.06,93.92,6.08,0.0,0.18,0.57,0.69,13.02,0.59,63.79,0.6,0.0,0.23,0.01,1.22,0.83,1.0,0.91,0,0,1.62,vlm_embed,2.44708,810.0,vlm_embed,False
1,18,gemm_fusion_dot_94_0,gemm_fusion_dot_94_0,vlm_embed,"(8, 16, 1)","(128, 1, 1)",0,12288,0.007584,17.36,17.36,38.97,282.4641350211,31.87,81.7,12.61,25.0,150,13312,17,861.97046413502,7.27,1.54,0.19,0.17,83.25,16.75,0.9,0.02,0.1,0.33,0.75,0.06,2.86,0.96,0.0,0.31,0.0,0.11,0.13,1.0,0.31,0,0,1.38,vlm_embed,4.744099,810.0,vlm_embed,False
1,19,fusion_188,fusion_188,vlm_embed,"(256, 1, 1)","(128, 1, 1)",0,0,0.00784,21.53,0.0,53.98,393.15918367347,20.83,51.43,21.34,83.33,47,1024,17,566.7510204081601,0.0,2.76,0.34,0.25,75.02,24.98,0.0,0.01,0.03,0.1,1.07,0.01,5.75,0.08,0.0,0.49,0.0,0.08,0.36,1.0,0.76,0,0,1.15,,,,,False
1,20,loop_convert_fusion_8,loop_convert_fusion_8,vlm_embed,"(576, 1, 1)","(128, 1, 1)",0,0,0.004576,3.98,0.0,19.83,142.37762237762,12.15,60.16,46.48,100.0,16,1024,17,327.10489510490004,25.35,5.28,0.1,0.06,94.07,5.93,0.0,0.21,0.26,0.75,15.71,0.0,64.7,0.44,0.0,0.35,0.02,1.27,0.73,1.0,1.21,0,0,2.49,vlm_embed,2.606959,810.0,vlm_embed,False
1,21,gemm_fusion_dot_95_0,gemm_fusion_dot_95_0,vlm_embed,"(4, 16, 1)","(128, 1, 1)",0,36864,0.008896,21.89,21.89,46.88,341.05035971223,27.4,78.45,8.3,16.67,162,37888,17,744.1582733812901,0.0,1.0,0.14,0.14,85.65,14.35,0.74,0.02,0.02,0.06,0.78,0.05,1.88,1.14,0.0,0.07,0.0,0.2,0.0,1.0,0.08,0,0,0.92,vlm_embed,4.256318,810.0,vlm_embed,False
1,22,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_nt,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_nt,unknown_library_kernel,"(18, 4, 1)","(128, 1, 1)",49152,32768,0.012992,32.9,32.9,39.66,288.35467980296005,62.77,84.87,8.33,8.33,146,82944,17,1703.51231527094,0.0,0.97,0.11,0.11,89.48,10.52,1.1,0.14,0.0,0.0,0.52,0.05,2.2,1.93,0.0,0.14,0.0,0.12,0.0,1.0,0.13,0,0,2.12,vlm_embed,10.161276,810.0,vlm_embed,False
1,23,input_reduce_fusion_1,input_reduce_fusion_1,vlm_embed,"(128, 1, 1)","(192, 1, 1)",48,0,0.004992,8.03,0.0,34.14,246.51282051282,11.19,21.88,18.51,100.0,30,1072,17,304.32692307692,23.47,2.31,0.1,0.08,91.73,8.27,1.92,0.06,0.07,0.1,4.25,0.28,17.56,0.08,0.0,0.0,0.0,0.29,0.19,1.0,1.48,0,0,0.99,vlm_embed,3.036824,810.0,vlm_embed,False
1,24,loop_convert_fusion_7,loop_convert_fusion_7,vlm_embed,"(576, 1, 1)","(128, 1, 1)",0,0,0.0060479999999999996,6.96,0.0,29.02,209.88359788360003,15.35,52.38,46.07,100.0,24,1024,17,415.70370370370006,36.79,5.75,0.16,0.1,89.87,10.13,0.0,0.08,0.29,0.26,5.99,0.52,44.3,0.45,0.0,0.13,0.0,0.53,0.58,1.0,0.58,0,0,1.58,vlm_embed,2.434257,810.0,vlm_embed,False
1,25,gemm_fusion_dot_66_0,gemm_fusion_dot_66_0,vlm_embed,"(68, 1, 1)","(128, 1, 1)",0,61440,0.027167999999999998,61.72,61.72,63.45,461.67255594817,70.96,87.55,8.33,8.33,255,62464,17,1922.7067137809202,0.0,1.0,0.17,0.17,83.34,16.66,0.09,0.01,0.01,0.03,0.19,0.13,0.16,2.39,0.0,0.03,0.0,0.05,0.0,1.0,0.22,0,0,1.67,,,,,False
1,26,loop_convert_fusion_5,loop_convert_fusion_5,vlm_embed,"(2152, 1, 1)","(128, 1, 1)",0,0,0.00752,36.51,0.0,60.53,439.1829787234,25.48,57.13,73.96,100.0,31,1024,17,690.54893617021,57.4,8.92,1.8,0.52,48.49,51.51,0.0,0.05,0.16,0.17,1.1,0.02,10.76,0.73,0.0,0.03,0.0,0.14,2.37,1.0,0.25,0,0,0.66,vlm_embed,3.703515,810.0,vlm_embed,False
1,27,ampere_bf16_s16816gemm_bf16_128x128_ldg8_f2f_stages_32x5_nn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_f2f_stages_32x5_nn,unknown_library_kernel,"(9, 2, 5)","(128, 1, 1)",49152,32768,0.043296,39.09,39.09,46.61,339.50036954915004,36.42,74.55,8.33,8.33,222,82944,17,992.1212121212101,0.0,1.01,0.11,0.11,88.74,11.26,0.41,0.15,0.0,0.0,0.26,0.14,0.43,3.15,0.0,0.18,0.0,0.07,0.0,1.0,0.05,0,0,3.1,vlm_embed,34.844163,810.0,vlm_embed,False
1,28,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __nv_bfloat16, __nv_bfloat16, float, (bool)0, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, (bool)1, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T9 *, T8 *, T5 *, const T6 *, const T6 *, const T10 *, const T4 *, T10 *, void *, long, T6 *, int *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *)","void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __nv_bfloat16, __nv_bfloat16, float, (bool)0, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, (bool)1, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T9 *, T8 *, T5 *, const T6 *, const T6 *, const T10 *, const T4 *, T10 *, void *, long, T6 *, int *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *)",unknown_library_kernel,"(36, 16, 1)","(32, 16, 1)",0,0,0.008288,22.23,0.0,56.78,413.09652509653006,16.72,20.03,83.09,100.0,38,1024,17,453.37451737452005,2.6,9.96,0.65,0.28,71.6,28.4,0.0,0.29,0.27,0.02,2.0,0.23,24.87,0.62,0.0,0.36,0.01,0.95,1.32,1.0,0.01,0,0,3.2,vlm_embed,4.028563,810.0,vlm_embed,False
1,29,loop_convert_fusion_9,loop_convert_fusion_9,vlm_embed,"(576, 1, 1)","(128, 1, 1)",0,0,0.005696,5.62,0.0,46.49,337.01123595506004,18.62,38.18,47.07,100.0,19,1024,17,505.97191011236004,40.22,5.49,0.12,0.08,92.32,7.68,0.0,0.11,0.31,0.37,8.33,0.45,58.97,0.42,0.0,0.19,0.01,0.75,0.53,1.0,0.63,0,0,1.34,vlm_embed,3.186489,810.0,vlm_embed,False
1,30,loop_add_fusion_2,loop_add_fusion_2,vlm_embed,"(1, 1, 1)","(1, 1, 1)",0,0,0.002656,0.0,0.0,0.17,1.2530120481900002,0.83,92.98,2.08,33.33,16,1024,17,22.46987951807,50.0,0.98,0.01,0.01,98.91,1.09,0.0,0.47,0.0,1.24,49.65,0.0,32.29,0.0,0.0,0.0,0.0,5.82,0.0,1.0,0.0,0,0,1.18,"action,vlm_embed,vlm_prefill",4.333283,2790.0,"action,vlm_embed,vlm_prefill",False
1,31,input_reduce_fusion_2,input_reduce_fusion_2,vlm_embed,"(128, 1, 1)","(192, 1, 1)",48,0,0.003744,8.81,0.0,22.07,159.38461538462,7.02,15.89,18.4,100.0,19,1072,17,190.11111111111,1.15,2.2,0.1,0.09,91.04,8.96,1.75,0.08,0.04,0.15,5.82,0.05,12.51,0.05,0.0,0.0,0.01,0.39,0.17,1.0,2.09,0,0,1.0,vlm_embed,1.670451,810.0,vlm_embed,False
1,32,loop_convert_fusion_9,loop_convert_fusion_9,vlm_embed,"(576, 1, 1)","(128, 1, 1)",0,0,0.00592,5.38,0.0,44.61,324.08648648649,17.95,38.15,45.96,100.0,19,1024,17,486.92972972973,40.22,5.68,0.12,0.08,92.13,7.87,0.0,0.11,0.31,0.37,8.4,0.45,57.18,0.41,0.0,0.2,0.01,0.75,0.53,1.0,0.63,0,0,1.34,vlm_embed,3.186489,810.0,vlm_embed,False
1,33,input_reduce_fusion_10,input_reduce_fusion_10,vlm_embed,"(128, 3, 1)","(192, 1, 1)",144,0,0.0060479999999999996,16.24,0.0,41.52,301.43915343915006,12.05,9.75,49.2,100.0,22,1168,17,327.08465608465997,1.48,5.7,0.21,0.15,85.47,14.53,5.22,0.09,0.02,0.16,4.96,0.13,23.4,0.17,0.0,0.09,0.01,0.77,0.43,1.0,2.2,0,0,1.13,vlm_mixed,0.042048,10.0,vlm_mixed,False
1,34,loop_convert_fusion_24,loop_convert_fusion_24,vlm_embed,"(576, 1, 1)","(128, 1, 1)",0,0,0.0066879999999999995,12.84,0.0,53.64,389.62679425837,22.83,56.86,42.69,100.0,32,1024,17,619.35885167464,22.54,5.05,0.24,0.17,82.54,17.46,0.0,0.05,0.22,0.21,3.8,1.19,20.29,0.3,0.0,0.01,0.0,0.36,0.39,1.0,0.27,0,0,0.87,vlm_mixed,0.028736,10.0,vlm_mixed,False
1,35,gemm_fusion_dot_106_0,gemm_fusion_dot_106_0,vlm_embed,"(192, 1, 1)","(128, 1, 1)",0,36864,0.045408,51.23,51.23,28.57,208.08738548273,71.61,93.17,15.7,16.67,168,37888,17,1946.8907681465803,0.0,1.88,0.18,0.17,83.31,16.69,1.29,0.02,0.03,0.09,0.24,0.1,4.39,2.36,0.0,0.14,0.01,0.03,0.08,1.0,0.32,0,0,1.2,vlm_mixed,0.450499,10.0,vlm_mixed,False
1,36,input_concatenate_fusion_6,input_concatenate_fusion_6,vlm_embed,"(1024, 1, 1)","(128, 1, 1)",0,0,0.010688,6.83,0.0,76.28,555.4610778443101,26.68,58.45,88.31,100.0,19,1024,17,724.7904191616801,16.15,10.71,0.09,0.05,94.99,5.01,0.0,0.18,0.33,1.19,8.37,1.61,192.61,0.5,0.0,0.82,0.01,0.9,0.72,1.0,1.11,0,0,2.02,vlm_mixed,0.067264,10.0,vlm_mixed,False
