batch_size,kernel_key,grid,block,static_shared,dynamic_shared,kernel_ms,sm_pct,tensor_pct,dram_pct,dram_gbps,l2_pct,l2_hit_pct,occupancy_pct,theoretical_occupancy_pct,registers_per_thread,shared_bytes_per_block,replay_passes,l2_gbps,l1_hit_pct,active_warps_per_scheduler,eligible_warps_per_scheduler,issued_warps_per_scheduler,no_eligible_pct,issue_active_pct,warp_cycles_barrier,warp_cycles_branch_resolving,warp_cycles_dispatch_stall,warp_cycles_drain,warp_cycles_imc_miss,warp_cycles_lg_throttle,warp_cycles_long_scoreboard,warp_cycles_math_pipe_throttle,warp_cycles_membar,warp_cycles_mio_throttle,warp_cycles_misc,warp_cycles_no_instruction,warp_cycles_not_selected,warp_cycles_selected,warp_cycles_short_scoreboard,warp_cycles_sleeping,warp_cycles_tex_throttle,warp_cycles_wait,stage,reference_total_ms,reference_count,samples,stage_rejected,stage_kernel_time_share_pct
5,cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_nn_align8,"(304, 8, 1)","(256, 1, 1)",0,73728,2.384512,91.58,91.58,36.82,268.43298083633,61.48,90.19,16.66,16.67,215.0,74752.0,17.0,1668.4681008105601,0.0,1.99,0.19,0.13,86.88,13.12,0.21,0.03,0.0,0.01,0.01,0.02,0.28,10.06,0.0,0.09,0.0,0.03,0.48,1.0,0.16,0.0,0.0,2.82,vlm_prefill,963.606409,360.0,1,,42.371788728470946
5,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_32x3_nn,"(8, 38, 3)","(256, 1, 1)",49152,24576,2.299328,94.04,94.04,33.26,242.44267542517002,62.76,89.4,16.63,16.67,218.0,74752.0,17.0,1704.82552119576,0.0,2.0,0.17,0.11,89.06,10.94,0.13,0.05,0.0,0.0,0.01,0.01,0.14,12.65,0.01,0.05,0.0,0.02,0.56,1.0,0.01,0.0,0.0,3.62,vlm_prefill,469.741718,180.0,1,,20.65552558196505
5,loop_transpose_fusion,"(73205, 1, 1)","(128, 1, 1)",0,0,0.747552,7.12,0.0,41.34,301.32511450708006,89.24,91.69,72.83,100.0,26.0,1024.0,17.0,2420.91117674757,50.86,8.82,0.12,0.07,92.86,7.14,0.0,0.07,0.1,8.29,0.04,41.91,36.57,0.02,0.0,26.88,0.0,0.06,0.61,1.0,6.84,0.0,0.0,1.04,vlm_prefill,163.880687,180.0,1,,7.206176485943937
5,gemm_fusion_dot_59_0,"(180, 1, 1)","(128, 1, 1)",0,12288,0.14707199999999998,54.86,54.86,21.82,159.03655352479998,72.7,93.02,17.75,25.0,156.0,13312.0,17.0,1970.8331157528303,3.9,2.12,0.14,0.13,86.93,13.07,1.64,0.05,0.03,0.03,0.08,0.0,6.48,2.82,0.0,0.64,0.0,0.04,0.11,1.0,0.55,0.0,0.0,2.76,vlm_embed,127.463941,810.0,1,,24.42602409876823
5,loop_convert_fusion,"(154880, 1, 1)","(128, 1, 1)",0,0,0.69344,21.95,0.0,93.97,684.97258883249,26.82,33.36,83.97,100.0,35.0,1024.0,17.0,686.7670050761401,0.0,10.13,0.31,0.22,77.98,22.02,0.0,0.05,0.02,2.38,0.02,0.04,40.51,0.07,0.0,0.05,0.0,0.05,0.39,1.0,0.61,0.0,0.0,0.42,vlm_prefill,125.075476,180.0,1,,5.499830215621717
1,cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x128_32x5_nn_align8,"(64, 2, 1)","(128, 1, 1)",0,81920,0.606112,74.55,74.55,36.32,264.71717438361003,63.48,87.77,8.33,8.33,224.0,82944.0,17.0,1730.9794625415802,0.0,1.0,0.13,0.13,87.0,13.0,0.01,0.02,0.0,0.0,0.02,0.0,0.02,3.76,0.0,0.0,0.0,0.03,0.0,1.0,0.01,0.0,0.0,2.81,vlm_prefill,116.394846,180.0,1,,22.80238427350535
1,gemm_fusion_dot_73_0,"(1024, 1, 1)","(128, 1, 1)",0,49152,0.517664,89.59,89.59,46.68,340.28336527168,76.22,89.0,16.12,16.67,255.0,50176.0,17.0,2079.52519008469,0.0,1.94,0.24,0.18,81.51,18.49,0.84,0.02,0.01,0.01,0.02,0.06,0.18,6.21,0.0,0.11,0.01,0.01,0.27,1.0,0.02,0.0,0.0,1.73,vlm_prefill,98.550629,180.0,1,,19.306604975048984
5,gemm_fusion_dot_58_0,"(340, 1, 1)","(128, 1, 1)",0,49152,0.11420799999999999,72.73,72.73,48.96,356.89997198095006,68.25,91.5,15.27,16.67,255.0,50176.0,17.0,1846.11179602129,0.0,1.82,0.21,0.17,83.05,16.95,0.98,0.02,0.03,0.03,0.09,0.17,0.51,5.55,0.0,0.24,0.0,0.01,0.24,1.0,0.04,0.0,0.0,1.81,vlm_embed,96.517502,810.0,1,,18.49573150892071
1,loop_slice_fusion_3,"(8192, 1, 1)","(128, 1, 1)",0,0,0.050207999999999996,5.28,0.0,89.03,648.74187380497,41.0,50.04,85.78,100.0,16.0,1024.0,17.0,672.88591459528,3.02,10.4,0.05,0.03,96.71,3.29,0.0,0.29,0.32,29.06,1.8,13.38,236.25,0.14,0.0,14.84,0.0,0.41,0.39,1.0,14.69,0.0,0.0,1.94,action,90.059692,1800.0,1,,25.976629871660872
5,loop_slice_fusion_3,"(8192, 1, 1)","(128, 1, 1)",0,0,0.050207999999999996,5.35,0.0,89.04,648.5506692160601,40.37,50.04,85.94,100.0,16.0,1024.0,17.0,672.8616953473501,3.02,10.32,0.05,0.03,96.73,3.27,0.0,0.29,0.32,30.84,1.73,13.55,233.17,0.15,0.0,14.85,0.0,0.41,0.4,1.0,15.06,0.0,0.0,1.94,action,89.021154,1800.0,1,,17.428349644411945
5,input_reduce_select_fusion,"(305, 1, 1)","(1024, 1, 1)",16512,0,0.452256,3.43,0.0,92.29,672.65888346423,40.67,50.35,66.63,66.67,64.0,17536.0,17.0,691.3840656619301,36.41,7.97,0.05,0.03,97.29,2.71,19.37,0.07,0.02,0.06,0.28,5.86,263.56,0.38,0.0,2.22,0.0,0.06,0.67,1.0,0.03,0.0,0.0,1.28,vlm_prefill,81.721603,180.0,1,,3.593469765795194
5,gemm_fusion_dot_113_0,"(270, 1, 1)","(128, 1, 1)",0,49152,0.091712,69.94,69.94,41.16,299.83670621075004,68.11,90.61,14.71,16.67,255.0,50176.0,17.0,1837.2592463363603,0.0,1.77,0.21,0.17,82.57,17.43,0.69,0.02,0.04,0.07,0.11,0.18,0.49,5.28,0.0,0.23,0.0,0.02,0.23,1.0,0.04,0.0,0.0,1.81,vlm_embed,77.712192,810.0,1,,14.892053859844987
5,loop_slice_fusion,"(65536, 1, 1)","(128, 1, 1)",0,0,0.394592,5.11,0.0,92.96,677.5862460465501,31.04,50.04,88.83,100.0,16.0,1024.0,17.0,681.0245722163701,3.03,10.64,0.04,0.03,97.09,2.91,0.0,0.3,0.25,46.49,0.24,27.22,232.32,0.07,0.0,25.18,0.0,0.28,0.29,1.0,24.75,0.0,0.0,1.93,vlm_prefill,71.132224,180.0,1,,3.127832628512821
1,loop_slice_fusion,"(65536, 1, 1)","(128, 1, 1)",0,0,0.393984,5.11,0.0,93.1,678.60883690708,41.84,50.03,89.0,100.0,16.0,1024.0,17.0,682.2210038986401,3.03,10.69,0.04,0.03,97.09,2.91,0.0,0.3,0.24,43.95,0.22,22.56,244.43,0.07,0.0,24.23,0.0,0.28,0.28,1.0,24.11,0.0,0.0,1.92,vlm_prefill,71.076838,180.0,1,,13.924339682718317
5,loop_dynamic_slice_fusion_21,"(6144, 1, 1)","(128, 1, 1)",0,0,0.038239999999999996,5.43,0.0,86.89,632.800079270545,39.525000000000006,50.150000000000006,83.195,100.0,16.0,1024.0,17.0,662.8142586838701,3.02,10.105,0.04,0.03,97.16499999999999,2.835,0.0,0.35,0.18,30.83,2.99,12.899999999999999,276.025,0.33,0.0,14.594999999999999,0.0,0.59,0.475,1.0,14.655000000000001,0.0,0.0,2.225,action,62.133355,1800.0,2,,12.16432035379334
5,gemm_fusion_dot_117_0,"(64, 1, 1)","(128, 1, 1)",0,36864,0.032063999999999995,23.32,23.32,80.79,588.88223552894,28.2,30.77,8.33,16.67,166.0,37888.0,17.0,763.2065868263501,0.0,1.02,0.09,0.09,90.57,9.43,1.78,0.02,0.02,0.05,0.32,0.02,4.37,1.61,0.0,0.08,0.0,0.07,0.0,1.0,0.04,0.0,0.0,1.05,action,57.384289,1800.0,1,,11.23455951590992
5,gemm_fusion_dot_103_0,"(32, 1, 1)","(128, 1, 1)",0,36864,0.022335999999999998,16.92,16.92,66.42,483.27793696275,39.31,62.65,8.33,16.67,96.0,37888.0,17.0,1061.3710601719201,0.0,1.02,0.23,0.23,77.32,22.68,0.61,0.03,0.04,0.0,0.18,0.0,0.26,0.82,0.0,0.01,0.02,0.06,0.0,1.0,0.39,0.0,0.0,1.02,action,43.361931,1800.0,1,,8.489295642301665
