batch_size,index,action_step,kernel_union_ms,activity_union_ms,copy_union_ms,kernel_count
1,0,0,3.51165,4.185129,0.673479,463
1,0,1,3.505414,4.178886,0.673472,463
1,0,2,3.50416,4.17639,0.67223,463
1,0,3,3.501668,4.173031,0.671363,463
1,0,4,3.506176,4.179687,0.673511,463
1,0,5,3.452197,4.121128,0.668931,463
1,0,6,3.418085,4.085798,0.667713,463
1,0,7,3.415269,4.08151,0.666241,463
1,0,8,3.415976,4.084104,0.668128,463
1,0,9,3.415624,4.082664,0.66704,463
1,1,0,3.497064,4.169736,0.672672,463
1,1,1,3.498631,4.171111,0.67248,463
1,1,2,3.493766,4.164262,0.670496,463
1,1,3,3.492103,4.164807,0.672704,463
1,1,4,3.491625,4.162313,0.670688,463
1,1,5,3.495398,4.167462,0.672064,463
1,1,6,3.459336,4.128105,0.668769,463
1,1,7,3.400519,4.066249,0.66573,463
1,1,8,3.40436,4.072936,0.668576,463
1,1,9,3.40583,4.070854,0.665024,463
1,2,0,3.512744,4.187048,0.674304,463
1,2,1,3.506279,4.178471,0.672192,463
1,2,2,3.507816,4.179688,0.671872,463
1,2,3,3.471176,4.14308,0.671904,463
1,2,4,3.46196,4.132456,0.670496,463
1,2,5,3.459974,4.12884,0.668866,463
1,2,6,3.459241,4.129385,0.670144,463
1,2,7,3.444964,4.113223,0.668259,463
1,2,8,3.383656,4.050921,0.667265,463
1,2,9,3.382823,4.048041,0.665218,463
1,3,0,3.510279,4.183463,0.673184,463
1,3,1,3.505159,4.177544,0.672385,463
1,3,2,3.505223,4.177607,0.672384,463
1,3,3,3.492456,4.163912,0.671456,463
1,3,4,3.449385,4.118377,0.668992,463
1,3,5,3.445189,4.113064,0.667875,463
1,3,6,3.451462,4.122472,0.67101,463
1,3,7,3.449255,4.118119,0.668864,463
1,3,8,3.394728,4.061193,0.666465,463
1,3,9,3.377351,4.043017,0.665666,463
1,4,0,3.507716,4.178598,0.670882,463
1,4,1,3.506984,4.179112,0.672128,463
1,4,2,3.507911,4.180007,0.672096,463
1,4,3,3.505056,4.177737,0.672681,463
1,4,4,3.506881,4.178854,0.671973,463
1,4,5,3.501417,4.173193,0.671776,463
1,4,6,3.441128,4.110856,0.669728,463
1,4,7,3.404872,4.073,0.668128,463
1,4,8,3.401992,4.068137,0.666145,463
1,4,9,3.405384,4.072553,0.667169,463
1,5,0,3.508327,4.181031,0.672704,463
1,5,1,3.507113,4.180585,0.673472,463
1,5,2,3.506502,4.180006,0.673504,463
1,5,3,3.505507,4.178376,0.672869,463
1,5,4,3.507143,4.179431,0.672288,463
1,5,5,3.47607,4.14711,0.67104,463
1,5,6,3.421096,4.087273,0.666177,463
1,5,7,3.415016,4.082249,0.667233,463
1,5,8,3.418856,4.086216,0.66736,463
1,5,9,3.415015,4.085064,0.670049,463
1,6,0,3.499785,4.170761,0.670976,463
1,6,1,3.505385,4.178505,0.67312,463
1,6,2,3.509286,4.181542,0.672256,463
1,6,3,3.507528,4.178856,0.671328,463
1,6,4,3.504646,4.177158,0.672512,463
1,6,5,3.451235,4.121384,0.670149,463
1,6,6,3.417992,4.084617,0.666625,463
1,6,7,3.415847,4.08372,0.667873,463
1,6,8,3.415527,4.083241,0.667714,463
1,6,9,3.41415,4.081639,0.667489,463
1,7,0,3.509285,4.182759,0.673474,463
1,7,1,3.506403,4.179717,0.673314,463
1,7,2,3.504774,4.176681,0.671907,463
1,7,3,3.500678,4.172934,0.672256,463
1,7,4,3.500519,4.173607,0.673088,463
1,7,5,3.450246,4.119144,0.668898,463
1,7,6,3.417735,4.086729,0.668994,463
1,7,7,3.41674,4.08407,0.66733,463
1,7,8,3.412295,4.079561,0.667266,463
1,7,9,3.415495,4.084553,0.669058,463
1,8,0,3.511583,4.182247,0.670664,463
1,8,1,3.507237,4.179912,0.672675,463
1,8,2,3.505792,4.179529,0.673737,463
1,8,3,3.487362,4.157128,0.669766,463
1,8,4,3.446246,4.113926,0.66768,463
1,8,5,3.448356,4.118248,0.669892,463
1,8,6,3.448167,4.117735,0.669568,463
1,8,7,3.447141,4.117191,0.67005,463
1,8,8,3.393064,4.058793,0.665729,463
1,8,9,3.375976,4.040457,0.664481,463
1,9,0,3.496864,4.169065,0.672201,463
1,9,1,3.5041,4.177924,0.673824,463
1,9,2,3.508744,4.18164,0.672896,463
1,9,3,3.509481,4.180585,0.671104,463
1,9,4,3.506504,4.18132,0.674816,463
1,9,5,3.493,4.164424,0.671424,463
1,9,6,3.404741,4.070663,0.665922,463
1,9,7,3.40263,4.069576,0.666946,463
1,9,8,3.40359,4.070376,0.666786,463
1,9,9,3.399749,4.065927,0.666178,463
2,0,0,4.764168,5.428136,0.663968,590
2,0,1,4.757385,5.425737,0.668352,590
2,0,2,4.723207,5.389353,0.666146,590
2,0,3,4.6962,5.362283,0.666083,590
2,0,4,4.700361,5.363083,0.662722,590
2,0,5,4.692937,5.357643,0.664706,590
2,0,6,4.575851,5.233291,0.65744,590
2,0,7,4.576939,5.237419,0.66048,590
2,0,8,4.57431,5.233867,0.659557,590
2,0,9,4.546347,5.204331,0.657984,590
2,1,0,4.756519,5.422855,0.666336,590
