phase,batch_size,index,start,end,pid,full_ms,kernel_union_ms,kernel_sum_ms,activity_union_ms,no_recorded_cuda_ms,kernel_count,streams,vlm_embed_kernel_ms,vlm_embed_activity_ms,vlm_embed_copy_ms,vlm_prefill_kernel_ms,vlm_prefill_activity_ms,vlm_prefill_copy_ms,action_kernel_ms,action_activity_ms,action_copy_ms,vlm_mixed_kernel_ms,vlm_mixed_activity_ms,vlm_mixed_copy_ms,mixed_kernel_ms,mixed_activity_ms,mixed_copy_ms,unattributed_kernel_ms,unattributed_activity_ms,unattributed_copy_ms,copy_union_ms,copy_bytes,h2d_copy_ms,h2d_bytes,d2h_copy_ms,d2h_bytes,d2d_copy_ms,d2d_bytes,cross_stage_overlap_ms,host_sync_union_ms,action_loop_body_count
transition,1,0,8867283,178024521,344233475047424,169.157238,100.271682,100.384546,116.901065,52.256173000000004,6569,5,14.690111,20.32564,5.635529,50.791082,55.021394,4.230312,34.672761,41.375791,6.70303,0.097184,0.097184,0.0,0.0,0.01264,0.01264,0.020544,0.068416,0.047872,16.629383,5673121526,0.038656,452755,0.016224,2699,16.574503,5672666072,0.0,82.610671,10
transition,1,1,178424747,331950526,344233475047424,153.525779,100.50441,100.61545000000001,117.164967,36.360811999999996,6569,5,14.724766,20.362124,5.637358,51.012458,55.239314,4.226856,34.648434,41.34836,6.699926,0.09808,0.09808,0.0,0.0,0.012352,0.012352,0.020672,0.104737,0.084065,16.660557,5673121526,0.074753,452755,0.016224,2699,16.56958,5672666072,0.0,85.163422,10
transition,1,2,332368874,486071365,344233475047424,153.702491,100.315884,100.428493,116.978086,36.724405000000004,6569,5,14.740192,20.378857,5.638665,50.858889,55.08488,4.225991,34.598371,41.297357,6.698986,0.097632,0.097632,0.0,0.0,0.012384,0.012384,0.0208,0.106976,0.086176,16.662202,5673121526,0.077056,452755,0.016064,2699,16.569082,5672666072,-1.4210854715202004e-14,84.251103,10
profile,1,0,486470399,640404150,344233475047424,153.933751,100.324147,100.438419,116.995811,36.93794,6569,5,14.702464,20.341547,5.639083,50.83444,55.063473,4.229033,34.668619,41.370727,6.702108,0.097632,0.097632,0.0,0.0,0.012416,0.012416,0.020992,0.110016,0.089024,16.671664,5673121526,0.079456,452755,0.01648,2699,16.575728,5672666072,1.4210854715202004e-14,85.138844,10
profile,1,1,640776565,795533962,344233475047424,154.757397,100.513234,100.623922,117.188744,37.568653,6569,5,14.721919,20.363307,5.641388,51.012139,55.24501,4.232871,34.660776,41.359979,6.699203,0.09776,0.09776,0.0,0.0,0.0128,0.0128,0.02064,0.109888,0.089248,16.67551,5673121526,0.080032,452755,0.016576,2699,16.578902,5672666072,0.0,84.563909,10
profile,1,2,795887471,949502522,344233475047424,153.615051,100.354895,100.466959,117.010316,36.60473499999999,6569,5,14.73222,20.370345,5.638125,50.891594,55.120498,4.228904,34.612777,41.313297,6.70052,0.097568,0.097568,0.0,0.0,0.01232,0.01232,0.020736,0.096288,0.075552,16.655421,5673121526,0.066176,452755,0.016224,2699,16.573021,5672666072,-1.4210854715202004e-14,84.396864,10
profile,1,3,949892483,1108772173,344233475047424,158.87969,100.263854,100.377518,116.919307,41.96038300000001,6569,5,14.737183,20.37745,5.640267,50.805479,55.034575,4.229096,34.602855,41.301136,6.698281,0.097409,0.097409,0.0,0.0,0.012128,0.012128,0.020928,0.096609,0.075681,16.655453,5673121526,0.066241,452755,0.01616,2699,16.573052,5672666072,0.0,83.054089,10
profile,1,4,1109133760,1255407473,344233475047424,146.273713,100.474947,100.58758700000001,117.143693,29.130019999999988,6569,5,14.728413,20.36494,5.636527,50.916168,55.145329,4.229161,34.711805,41.414511,6.702706,0.097505,0.097505,0.0,0.0,0.012096,0.012096,0.021056,0.109312,0.088256,16.668746,5673121526,0.079296,452755,0.015616,2699,16.573834,5672666072,0.0,89.59612,10
profile,1,5,1255741660,1398027666,344233475047424,142.286006,100.545003,100.657739,117.22116,25.06484599999999,6569,5,14.779325,20.420392,5.641067,50.94548,55.17365,4.22817,34.702853,41.409549,6.706696,0.096385,0.096385,0.0,0.0,0.011744,0.011744,0.02096,0.10944,0.08848,16.676157,5673121526,0.079488,452755,0.015232,2699,16.581437,5672666072,0.0,93.236777,10
profile,1,6,1398292389,1538661994,344233475047424,140.369605,100.4283,100.540109,117.095497,23.274108000000012,6569,5,14.809565,20.451303,5.641738,50.836361,55.062962,4.226601,34.663461,41.363503,6.700042,0.098016,0.098016,0.0,0.0,0.011488,0.011488,0.020897,0.108225,0.087328,16.667197,5673121526,0.0784,452755,0.01488,2699,16.573917,5672666072,1.4210854715202004e-14,94.394608,10
profile,1,7,1538944131,1679397050,344233475047424,140.452919,100.497412,100.61014800000001,117.18324,23.26967900000001,6569,5,14.849598,20.496587,5.646989,50.873228,55.107666,4.234438,34.656442,41.362027,6.705585,0.097184,0.097184,0.0,0.0,0.011712,0.011712,0.02096,0.108064,0.087104,16.685828,5673121526,0.078112,452755,0.015136,2699,16.59258,5672666072,0.0,89.436251,10
