robots,control_hz,request_hz,max_batch_size,algorithm,completion_rps_mean,completion_rps_std,slo_percent_mean,slo_percent_std,starvation_percent_mean,starvation_percent_std,response_p99_ms_mean,response_p99_ms_std,queue_wait_p95_ms_mean,queue_wait_p95_ms_std,actual_batch_mean_mean,actual_batch_mean_std,unanswered_mean,unanswered_std,discarded_prefix_mean_mean,discarded_prefix_mean_std,tick_lateness_p99_ms_mean,tick_lateness_p99_ms_std,executed_actions_per_s_mean,executed_actions_per_s_std
1,10.0,2.0,2,lookahead-actions,2.0,0.0,0.0,0.0,0.0,0.0,202.42989969253537,12.46148823858774,4.436671733856201,0.16298956279320392,1.0,0.0,0.0,0.0,1.05,0.11180339887498947,0.13641061261296267,0.017341851332295176,10.0,0.0
1,20.0,2.0,2,lookahead-actions,2.0,0.0,0.0,0.0,15.05,0.11180339887498941,198.5572280883789,2.0836384799368415,4.064469337463379,0.5251078184450685,1.0,0.0,0.0,0.0,1.5050000000000001,0.011180339887498935,0.1218173466622829,0.002255820574539137,16.990000000000002,0.02236067977499818
1,40.0,2.0,2,lookahead-actions,2.0,0.0,0.0,0.0,50.0,0.0,198.04708290100098,3.4848275909244997,5.010178089141845,0.3545537106370393,1.0,0.0,0.0,0.0,0.0,0.0,0.12103894352912896,0.002485181468450357,20.0,0.0
2,20.0,2.0,2,lookahead-actions,4.0,0.0,0.0,0.0,19.8,4.463917841985894,278.8026490211487,76.80316675967296,98.85359764099121,86.1316571634509,1.0,0.0,0.0,0.0,1.9825,0.45178465556058894,0.12398066371679302,0.0018212968007699122,32.08,1.7855671367943584
3,20.0,2.0,2,lookahead-actions,6.0,0.0,0.16666666666666669,0.37267799624996495,22.0,4.089705911730629,323.2689518928528,60.812485772147305,129.6157932281494,30.915644438788547,1.2,0.27386127875258304,0.0,0.0,2.1966666666666668,0.407635458058627,0.13440626114606852,0.014239718972563336,46.8,2.4538235470383776
4,10.0,2.0,2,lookahead-actions,7.99,0.04183300132670412,2.375,2.436698586202241,0.0,0.0,382.4327092170714,57.68892642014022,184.06898260116571,47.085597573368666,1.3910677538014353,0.05040335669877243,0.0,0.0,2.2763129419117933,0.2634945989711459,0.13211069628596306,0.008257135192728063,40.0,0.0
4,20.0,2.0,2,lookahead-actions,8.02,0.027386127875258615,1.375,1.3549677117924248,28.3375,2.491626602241997,516.6296267509459,81.33644936275961,253.57797861099237,61.03071046266508,1.4745263677198082,0.061473221958855954,0.4,0.5477225575051661,2.762049689440994,0.2555381131382577,0.12628895416855804,0.0052513281639195,57.33,1.9933012817935971
4,40.0,2.0,2,lookahead-actions,8.01,0.07416198487095652,5.125,7.186141175902405,55.34375,2.675299340728061,504.20714807510376,74.22916554993287,215.00057697296134,46.31475045712796,1.4469807569771886,0.0947066666858407,0.8,1.3038404810405297,1.0562279286650962,0.45964006992015677,0.13042039424180968,0.009830984591657094,71.45,4.2804789451649015
5,20.0,2.0,2,lookahead-actions,9.209999999999999,0.08944271909999095,0.0,0.0,43.9,0.40466035140596707,701.1004853248595,9.481847656871786,441.5379071235657,5.197081774290845,1.984922363800941,0.009604630916216298,15.2,1.643167672515498,3.8996182050376844,0.07517298909819192,0.1260188147425651,0.00737405521613587,56.1,0.40466035140596707
6,20.0,2.0,2,lookahead-actions,9.14,0.17464249196572992,0.0,0.0,48.425,0.8875097808537767,712.114935874939,7.602967488046448,474.4362211227417,9.697444792356453,1.986858345021038,0.012216624810542316,57.4,3.9115214431215897,3.234573462759966,0.06356230810380809,0.12834653258323664,0.010650861608679679,61.89,1.0650117370245282
8,20.0,2.0,2,lookahead-actions,9.059999999999999,0.25347583711273214,0.0,0.0,55.75625,1.7356273631600763,715.9281344413757,9.988135810152675,483.82044076919556,10.63631719166911,1.9736651411896067,0.025147842200447187,139.6,5.029910535983716,2.153050436436313,0.2847629562437557,0.12920548766851403,0.0050161882939781305,70.78999999999999,2.7770037810561203
12,20.0,2.0,2,lookahead-actions,9.129999999999999,0.1151086443322134,0.0,0.0,67.0875,1.6860461844537684,719.9658517837524,11.080670042475592,488.8863277435303,7.439032816796082,1.9934533270998909,0.00597766490275804,297.8,2.683281572999748,1.3021316572355646,0.40994145495528006,0.12883084267377848,0.004591096868957749,78.99000000000001,4.046510842689044
16,20.0,2.0,2,lookahead-actions,9.12,0.10368220676663924,0.0,0.0,73.09375,0.8980637809685346,713.5222420692444,1.799410226362148,484.20069694519043,18.393450413144095,1.9912082603386954,0.009194621482749975,458.2,1.4832396974191264,0.49915689159986093,0.22643225777053294,0.12679110467433924,0.0015403312574112928,86.1,2.8738040990993086
