root,case,robots,control_hz,repeat,deadline_ms,attainment_percent
serving_capacity_20260917,r12_hz20_rep0,12,20.0,0,156,0.0
serving_capacity_20260917,r12_hz20_rep0,12,20.0,0,200,0.0
serving_capacity_20260917,r12_hz20_rep0,12,20.0,0,250,0.625
serving_capacity_20260917,r12_hz20_rep0,12,20.0,0,500,18.333333333333332
serving_capacity_20260917,r12_hz20_rep0,12,20.0,0,1000,37.083333333333336
serving_capacity_20260917,r12_hz20_rep1,12,20.0,1,156,0.0
serving_capacity_20260917,r12_hz20_rep1,12,20.0,1,200,0.20833333333333334
serving_capacity_20260917,r12_hz20_rep1,12,20.0,1,250,2.7083333333333335
serving_capacity_20260917,r12_hz20_rep1,12,20.0,1,500,21.458333333333332
serving_capacity_20260917,r12_hz20_rep1,12,20.0,1,1000,38.541666666666664
serving_capacity_20260917,r12_hz20_rep2,12,20.0,2,156,0.0
serving_capacity_20260917,r12_hz20_rep2,12,20.0,2,200,0.0
serving_capacity_20260917,r12_hz20_rep2,12,20.0,2,250,1.6666666666666667
serving_capacity_20260917,r12_hz20_rep2,12,20.0,2,500,20.833333333333332
serving_capacity_20260917,r12_hz20_rep2,12,20.0,2,1000,37.916666666666664
serving_capacity_20260917,r12_hz20_rep3,12,20.0,3,156,0.0
serving_capacity_20260917,r12_hz20_rep3,12,20.0,3,200,0.0
serving_capacity_20260917,r12_hz20_rep3,12,20.0,3,250,1.0416666666666667
serving_capacity_20260917,r12_hz20_rep3,12,20.0,3,500,18.541666666666668
serving_capacity_20260917,r12_hz20_rep3,12,20.0,3,1000,37.916666666666664
serving_capacity_20260917,r12_hz20_rep4,12,20.0,4,156,0.0
serving_capacity_20260917,r12_hz20_rep4,12,20.0,4,200,0.0
serving_capacity_20260917,r12_hz20_rep4,12,20.0,4,250,1.4583333333333333
serving_capacity_20260917,r12_hz20_rep4,12,20.0,4,500,20.0
serving_capacity_20260917,r12_hz20_rep4,12,20.0,4,1000,38.333333333333336
serving_capacity_20260917,r16_hz20_rep0,16,20.0,0,156,0.0
serving_capacity_20260917,r16_hz20_rep0,16,20.0,0,200,0.0
serving_capacity_20260917,r16_hz20_rep0,16,20.0,0,250,0.3125
serving_capacity_20260917,r16_hz20_rep0,16,20.0,0,500,13.125
serving_capacity_20260917,r16_hz20_rep0,16,20.0,0,1000,28.125
serving_capacity_20260917,r16_hz20_rep1,16,20.0,1,156,0.0
serving_capacity_20260917,r16_hz20_rep1,16,20.0,1,200,0.15625
serving_capacity_20260917,r16_hz20_rep1,16,20.0,1,250,1.09375
serving_capacity_20260917,r16_hz20_rep1,16,20.0,1,500,15.0
serving_capacity_20260917,r16_hz20_rep1,16,20.0,1,1000,28.28125
serving_capacity_20260917,r16_hz20_rep2,16,20.0,2,156,0.0
serving_capacity_20260917,r16_hz20_rep2,16,20.0,2,200,0.0
serving_capacity_20260917,r16_hz20_rep2,16,20.0,2,250,0.3125
serving_capacity_20260917,r16_hz20_rep2,16,20.0,2,500,13.90625
serving_capacity_20260917,r16_hz20_rep2,16,20.0,2,1000,28.75
serving_capacity_20260917,r16_hz20_rep3,16,20.0,3,156,0.0
serving_capacity_20260917,r16_hz20_rep3,16,20.0,3,200,0.0
serving_capacity_20260917,r16_hz20_rep3,16,20.0,3,250,1.40625
serving_capacity_20260917,r16_hz20_rep3,16,20.0,3,500,16.09375
serving_capacity_20260917,r16_hz20_rep3,16,20.0,3,1000,28.4375
serving_capacity_20260917,r16_hz20_rep4,16,20.0,4,156,0.0
serving_capacity_20260917,r16_hz20_rep4,16,20.0,4,200,0.0
serving_capacity_20260917,r16_hz20_rep4,16,20.0,4,250,0.46875
serving_capacity_20260917,r16_hz20_rep4,16,20.0,4,500,14.0625
serving_capacity_20260917,r16_hz20_rep4,16,20.0,4,1000,28.4375
serving_capacity_20260917,r1_hz20_rep0,1,20.0,0,156,0.0
serving_capacity_20260917,r1_hz20_rep0,1,20.0,0,200,97.5
serving_capacity_20260917,r1_hz20_rep0,1,20.0,0,250,100.0
serving_capacity_20260917,r1_hz20_rep0,1,20.0,0,500,100.0
serving_capacity_20260917,r1_hz20_rep0,1,20.0,0,1000,100.0
serving_capacity_20260917,r1_hz20_rep1,1,20.0,1,156,0.0
serving_capacity_20260917,r1_hz20_rep1,1,20.0,1,200,100.0
serving_capacity_20260917,r1_hz20_rep1,1,20.0,1,250,100.0
serving_capacity_20260917,r1_hz20_rep1,1,20.0,1,500,100.0
serving_capacity_20260917,r1_hz20_rep1,1,20.0,1,1000,100.0
serving_capacity_20260917,r1_hz20_rep2,1,20.0,2,156,0.0
serving_capacity_20260917,r1_hz20_rep2,1,20.0,2,200,97.5
serving_capacity_20260917,r1_hz20_rep2,1,20.0,2,250,100.0
serving_capacity_20260917,r1_hz20_rep2,1,20.0,2,500,100.0
serving_capacity_20260917,r1_hz20_rep2,1,20.0,2,1000,100.0
serving_capacity_20260917,r1_hz20_rep3,1,20.0,3,156,0.0
serving_capacity_20260917,r1_hz20_rep3,1,20.0,3,200,100.0
serving_capacity_20260917,r1_hz20_rep3,1,20.0,3,250,100.0
serving_capacity_20260917,r1_hz20_rep3,1,20.0,3,500,100.0
serving_capacity_20260917,r1_hz20_rep3,1,20.0,3,1000,100.0
serving_capacity_20260917,r1_hz20_rep4,1,20.0,4,156,0.0
serving_capacity_20260917,r1_hz20_rep4,1,20.0,4,200,100.0
serving_capacity_20260917,r1_hz20_rep4,1,20.0,4,250,100.0
serving_capacity_20260917,r1_hz20_rep4,1,20.0,4,500,100.0
serving_capacity_20260917,r1_hz20_rep4,1,20.0,4,1000,100.0
serving_capacity_20260917,r2_hz20_rep0,2,20.0,0,156,0.0
serving_capacity_20260917,r2_hz20_rep0,2,20.0,0,200,48.75
serving_capacity_20260917,r2_hz20_rep0,2,20.0,0,250,50.0
serving_capacity_20260917,r2_hz20_rep0,2,20.0,0,500,100.0
serving_capacity_20260917,r2_hz20_rep0,2,20.0,0,1000,100.0
serving_capacity_20260917,r2_hz20_rep1,2,20.0,1,156,0.0
