root,case,robots,control_hz,repeat,empty_batches,inference_batches,gpu_samples,sw_thermal_samples,hw_thermal_samples,all_requests,unanswered,inference_p99_ms,received_slo_percent,temperature_c_mean,temperature_c_max,sm_clock_mhz_mean,sm_clock_mhz_max,power_w_mean,power_w_max,memory_used_mib_mean,memory_used_mib_max,gpu_util_percent_mean,gpu_util_percent_max,empirical_deadline_for_98_ms,coverage_can_reach_98
serving_capacity_20260917,r12_hz20_rep0,12,20.0,0,0,90,20,2,0,480,302,236.52622938156128,0.0,84.8,86.0,1696.5,1845.0,258.4605,268.69,8515.0,8515.0,79.85,100.0,,False
serving_capacity_20260917,r12_hz20_rep1,12,20.0,1,0,93,20,2,0,480,295,211.4665126800537,0.0,84.75,86.0,1662.0,1845.0,264.4305,269.38,8515.0,8515.0,85.0,100.0,,False
serving_capacity_20260917,r12_hz20_rep2,12,20.0,2,0,92,20,3,0,480,298,213.4745454788208,0.0,85.2,87.0,1656.75,1845.0,262.72650000000004,266.85,8515.0,8515.0,83.8,100.0,,False
serving_capacity_20260917,r12_hz20_rep3,12,20.0,3,0,91,20,2,0,480,298,230.00659465789795,0.0,84.75,86.0,1666.5,1860.0,261.88,268.09,8515.0,8515.0,85.8,100.0,,False
serving_capacity_20260917,r12_hz20_rep4,12,20.0,4,0,92,20,2,0,480,296,224.97198104858398,0.0,84.8,86.0,1677.75,1845.0,263.7955,269.64,8515.0,8515.0,83.3,100.0,,False
serving_capacity_20260917,r16_hz20_rep0,16,20.0,0,0,90,20,3,0,640,460,237.93359756469732,0.0,84.65,87.0,1678.5,1845.0,259.08400000000006,268.04,8515.0,8515.0,80.15,100.0,,False
serving_capacity_20260917,r16_hz20_rep1,16,20.0,1,0,91,20,5,0,640,459,228.0416488647461,0.0,85.2,86.0,1653.0,1845.0,262.08849999999995,268.26,8515.0,8515.0,85.25,100.0,,False
serving_capacity_20260917,r16_hz20_rep2,16,20.0,2,0,92,20,3,0,640,456,217.4102640151976,0.0,85.3,87.0,1659.75,1845.0,263.752,267.25,8515.0,8515.0,87.0,100.0,,False
serving_capacity_20260917,r16_hz20_rep3,16,20.0,3,0,92,20,4,0,640,458,213.6995792388916,0.0,85.0,86.0,1662.75,1845.0,263.29549999999995,267.49,8515.0,8515.0,85.1,100.0,,False
serving_capacity_20260917,r16_hz20_rep4,16,20.0,4,0,92,20,3,0,640,458,217.51880645751956,0.0,84.9,86.0,1671.75,1860.0,263.40999999999997,266.12,8515.0,8515.0,86.65,100.0,,False
serving_capacity_20260917,r1_hz20_rep0,1,20.0,0,4284,40,20,0,0,40,0,193.8481307029724,0.0,67.25,68.0,1890.0,1890.0,133.0025,134.06,8515.0,8515.0,0.0,0.0,200.6931304931641,True
serving_capacity_20260917,r1_hz20_rep1,1,20.0,1,3774,40,20,0,0,40,0,190.90358972549438,0.0,79.25,82.0,1810.5,1845.0,155.98000000000002,157.5,8515.0,8515.0,100.0,100.0,198.63295555114743,True
serving_capacity_20260917,r1_hz20_rep2,1,20.0,2,3753,41,20,0,0,40,0,193.74083280563354,0.0,76.95,80.0,1862.25,1875.0,138.02050000000003,139.44,8515.0,8515.0,0.0,0.0,202.31175422668457,True
serving_capacity_20260917,r1_hz20_rep3,1,20.0,3,4183,40,20,0,0,40,0,188.73968839645386,0.0,76.05,78.0,1863.75,1875.0,138.158,139.48,8515.0,8515.0,3.55,6.0,196.6850757598877,True
serving_capacity_20260917,r1_hz20_rep4,1,20.0,4,3736,40,20,0,0,40,0,187.5220632553101,0.0,76.15,78.0,1865.25,1875.0,137.94599999999997,139.11,8515.0,8515.0,0.0,0.0,197.5417137145996,True
serving_capacity_20260917,r2_hz20_rep0,2,20.0,0,1046,80,20,0,0,80,0,189.37804937362668,0.0,72.65,74.0,1875.0,1875.0,177.2445,178.96,8515.0,8515.0,12.7,27.0,322.2229480743408,True
serving_capacity_20260917,r2_hz20_rep1,2,20.0,1,1091,80,20,0,0,80,0,189.18094873428348,0.0,81.15,83.0,1746.75,1845.0,185.51049999999998,187.65,8515.0,8515.0,52.3,58.0,314.6367073059082,True
serving_capacity_20260917,r2_hz20_rep2,2,20.0,2,988,80,20,0,0,80,0,185.51313638687134,0.0,73.65,74.0,1875.0,1875.0,180.33350000000002,182.03,8515.0,8515.0,47.5,51.0,194.73767280578613,True
serving_capacity_20260917,r2_hz20_rep3,2,20.0,3,1128,80,20,0,0,80,0,189.07987117767334,0.0,73.1,74.0,1875.0,1875.0,175.53000000000003,176.05,8515.0,8515.0,0.0,0.0,361.940860748291,True
serving_capacity_20260917,r2_hz20_rep4,2,20.0,4,1072,80,20,0,0,80,0,188.02260398864743,0.0,74.35,75.0,1875.0,1875.0,182.1245,191.15,8515.0,8515.0,86.9,94.0,198.2083320617676,True
serving_capacity_20260917,r3_hz20_rep0,3,20.0,0,568,80,20,0,0,120,0,234.74965095520017,0.0,80.5,82.0,1818.75,1860.0,220.868,229.01,8515.0,8515.0,100.0,100.0,385.3104114532471,True
serving_capacity_20260917,r3_hz20_rep1,3,20.0,1,576,80,20,0,0,120,0,235.55649518966675,0.0,80.15,81.0,1738.5,1815.0,216.273,219.45,8515.0,8515.0,59.3,75.0,375.32925605773926,True
serving_capacity_20260917,r3_hz20_rep2,3,20.0,2,124,120,20,0,0,120,0,164.17770147323608,0.8333333333333334,78.55,80.0,1812.75,1875.0,235.30450000000002,237.16,8515.0,8515.0,96.35,100.0,240.94700813293457,True
serving_capacity_20260917,r3_hz20_rep3,3,20.0,3,142,120,20,0,0,120,0,161.27954959869385,0.0,76.3,77.0,1852.5,1875.0,230.0235,232.89,8515.0,8515.0,83.05,94.0,319.89192962646484,True
serving_capacity_20260917,r3_hz20_rep4,3,20.0,4,151,120,20,0,0,120,0,162.2789764404297,0.0,78.4,80.0,1870.5,1875.0,223.1465,225.18,8515.0,8515.0,59.95,63.0,288.27905654907227,True
serving_capacity_20260917,r4_hz20_rep0,4,20.0,0,4,106,20,0,0,160,0,229.85046863555905,3.125,82.35,85.0,1658.25,1860.0,253.9795,261.63,8515.0,8515.0,87.25,100.0,547.8096008300781,True
serving_capacity_20260917,r4_hz20_rep1,4,20.0,1,20,107,20,0,0,160,1,228.33747863769528,1.8867924528301887,80.55,83.0,1742.25,1860.0,252.63149999999996,266.75,8515.0,8515.0,89.05,100.0,535.0017547607422,True
serving_capacity_20260917,r4_hz20_rep2,4,20.0,2,1,106,20,0,0,160,1,230.44687747955322,0.0,80.55,83.0,1716.0,1860.0,248.494,257.9,8515.0,8515.0,79.65,100.0,599.590539932251,True
serving_capacity_20260917,r4_hz20_rep3,4,20.0,3,25,108,20,0,0,160,0,225.59147119522092,0.0,79.55,82.0,1638.0,1860.0,249.79799999999994,254.65,8515.0,8515.0,81.4,100.0,419.9128150939941,True
serving_capacity_20260917,r4_hz20_rep4,4,20.0,4,0,117,20,0,0,160,0,223.33788871765137,1.875,80.9,84.0,1662.75,1860.0,256.7015,260.95,8515.0,8515.0,83.2,100.0,405.1134586334229,True
serving_capacity_20260917,r6_hz20_rep0,6,20.0,0,0,93,20,2,0,240,55,228.02186965942386,0.0,84.45,86.0,1663.5,1860.0,263.00649999999996,267.85,8515.0,8515.0,88.65,100.0,,False
serving_capacity_20260917,r6_hz20_rep1,6,20.0,1,0,93,20,1,0,240,57,233.28987598419192,0.0,82.75,85.0,1689.75,1860.0,263.2065,272.06,8515.0,8515.0,86.45,100.0,,False
serving_capacity_20260917,r6_hz20_rep2,6,20.0,2,0,90,20,0,0,240,64,236.06336116790771,0.0,83.4,86.0,1678.5,1845.0,258.358,267.71,8515.0,8515.0,83.65,100.0,,False
serving_capacity_20260917,r6_hz20_rep3,6,20.0,3,0,93,20,1,0,240,54,215.8486008644104,0.0,82.95,85.0,1691.25,1860.0,266.24899999999997,270.3,8515.0,8515.0,86.45,100.0,,False
serving_capacity_20260917,r6_hz20_rep4,6,20.0,4,0,92,20,0,0,240,57,230.82664489746097,0.0,81.5,84.0,1670.25,1860.0,262.26149999999996,268.55,8515.0,8515.0,83.65,100.0,,False
serving_capacity_20260917,r8_hz20_rep0,8,20.0,0,0,89,20,1,0,320,147,233.76644134521484,0.0,84.7,86.0,1649.25,1845.0,255.5015,266.67,8515.0,8515.0,81.3,100.0,,False
serving_capacity_20260917,r8_hz20_rep1,8,20.0,1,0,93,20,1,0,320,134,224.39388036727905,0.0,84.8,86.0,1674.75,1845.0,265.8975,272.03,8515.0,8515.0,85.7,100.0,,False
serving_capacity_20260917,r8_hz20_rep2,8,20.0,2,0,91,20,2,0,320,140,236.91389322280884,0.0,84.6,86.0,1671.75,1845.0,260.32800000000003,268.27,8515.0,8515.0,81.85,100.0,,False
serving_capacity_20260917,r8_hz20_rep3,8,20.0,3,0,93,20,2,0,320,141,227.44309425354004,0.0,84.15,86.0,1674.0,1860.0,260.84450000000004,269.74,8515.0,8515.0,82.05,100.0,,False
serving_capacity_20260917,r8_hz20_rep4,8,20.0,4,0,93,20,2,0,320,136,211.5274453163147,0.0,83.85,86.0,1674.0,1860.0,264.528,267.58,8515.0,8515.0,87.7,100.0,,False
serving_capacity_boundary_20260917,r5_hz20_rep0,5,20.0,0,0,93,20,0,0,200,16,223.44722509384155,0.0,78.15,81.0,1679.25,1860.0,262.28149999999994,269.94,8515.0,8515.0,85.5,100.0,,False
serving_capacity_boundary_20260917,r5_hz20_rep1,5,20.0,1,0,92,20,0,0,200,17,235.34529209136963,0.0,82.7,85.0,1649.25,1860.0,261.4925,267.59,8515.0,8515.0,83.2,100.0,,False
serving_capacity_boundary_20260917,r5_hz20_rep2,5,20.0,2,0,92,20,1,0,200,16,226.84882879257202,0.0,84.45,86.0,1666.5,1860.0,261.80999999999995,269.2,8515.0,8515.0,83.7,100.0,,False
serving_capacity_boundary_20260917,r5_hz20_rep3,5,20.0,3,0,93,20,3,0,200,14,224.69183206558228,0.0,84.95,86.0,1645.5,1830.0,263.6485,271.1,8515.0,8515.0,84.55,100.0,,False
