robots,control_hz,request_hz,max_batch_size,repeat,algorithm,seconds,slo_ms,case,sent,responded,arrived,processed,unanswered,duplicate_responses,offered_rps,completion_rps,slo_percent,response_p50_ms,response_p95_ms,response_p99_ms,queue_wait_p95_ms,inference_p50_ms,ingress_p95_ms,starvation_percent,control_ticks,executed_actions,executed_actions_per_s,actual_control_hz_per_robot,actual_batch_mean,discarded_prefix_mean,tick_lateness_p99_ms,tick_lateness_max_ms,pass_available,pass_starved,miss_available,miss_starved,root
12,20.0,2.0,2,0,lookahead-actions,20.0,156,r12_hz20_rep0,480,178,480,178,302,0,24.0,8.95,0.0,508.3138942718506,722.5132703781128,733.553204536438,495.8819627761841,216.43352508544922,2.5979399681091295,69.10416666666667,4800,1483,74.15,20.0,1.988888888888889,1.6480446927374302,0.13491757214069366,1.0544806718826294,0,0,8,460,serving_capacity_20260917
12,20.0,2.0,2,1,lookahead-actions,20.0,156,r12_hz20_rep1,480,185,480,185,295,0,24.0,9.25,0.0,464.0545845031738,695.8656311035156,712.0598793029785,482.9311847686767,209.68270301818848,2.8910040855407715,67.64583333333333,4800,1553,77.65,20.0,1.989247311827957,1.6108108108108108,0.12432970106601715,0.3835335373878479,0,0,10,458,serving_capacity_20260917
12,20.0,2.0,2,2,lookahead-actions,20.0,156,r12_hz20_rep2,480,182,480,182,298,0,24.0,9.15,0.0,461.93158626556396,703.9232492446899,712.1409726142883,490.1971936225891,210.65902709960938,1.7539024353027344,64.5,4800,1704,85.2,20.0,1.9891304347826086,0.6284153005464481,0.13231519609689718,0.5357936024665833,0,0,14,454,serving_capacity_20260917
12,20.0,2.0,2,3,lookahead-actions,20.0,156,r12_hz20_rep3,480,182,480,182,298,0,24.0,9.1,0.0,503.47232818603516,710.7922911643982,730.5370330810547,495.8491802215576,210.10398864746094,2.002108097076416,67.47916666666667,4800,1561,78.05,20.0,2.0,1.3516483516483517,0.1252930611371994,1.0830536484718323,0,0,12,456,serving_capacity_20260917
12,20.0,2.0,2,4,lookahead-actions,20.0,156,r12_hz20_rep4,480,184,480,184,296,0,24.0,9.2,0.0,464.84482288360596,694.4820404052732,711.5381693840027,479.57211732864357,210.0505828857422,1.9719481468200681,66.70833333333333,4800,1598,79.9,20.0,2.0,1.2717391304347827,0.12729868292808533,0.5395505577325821,0,0,17,451,serving_capacity_20260917
16,20.0,2.0,2,0,lookahead-actions,20.0,156,r16_hz20_rep0,640,180,640,180,460,0,32.0,8.95,0.0,514.0105485916138,705.1205277442932,715.3903222084045,491.3483500480652,210.3487253189087,2.2852063179016113,73.90625,6400,1670,83.5,20.0,1.988888888888889,0.6312849162011173,0.12698231264948842,1.1942889541387558,0,0,13,611,serving_capacity_20260917
16,20.0,2.0,2,1,lookahead-actions,20.0,156,r16_hz20_rep1,640,181,640,181,459,0,32.0,9.1,0.0,460.7090950012207,703.4227848052979,713.251543045044,490.16499519348145,210.84260940551758,3.122127056121825,73.875,6400,1672,83.6,20.0,1.978021978021978,0.7142857142857143,0.12469613924622536,0.19238702952861786,0,0,12,612,serving_capacity_20260917
16,20.0,2.0,2,2,lookahead-actions,20.0,156,r16_hz20_rep2,640,184,640,184,456,0,32.0,9.2,0.0,502.59578227996826,710.2918386459351,713.4619116783142,495.75791358947754,210.69371700286865,1.884293556213379,72.109375,6400,1785,89.25,20.0,2.0,0.29347826086956524,0.1259283721446991,0.5024857819080353,0,0,16,608,serving_capacity_20260917
16,20.0,2.0,2,3,lookahead-actions,20.0,156,r16_hz20_rep3,640,182,640,182,458,0,32.0,9.2,0.0,462.71467208862305,666.0905361175537,710.7284259796143,451.5097737312317,211.0311985015869,2.0415544509887686,72.15625,6400,1782,89.1,20.0,2.0,0.21739130434782608,0.12867134064435956,0.37145428359508514,0,0,16,608,serving_capacity_20260917
16,20.0,2.0,2,4,lookahead-actions,20.0,156,r16_hz20_rep4,640,182,640,182,458,0,32.0,9.15,0.0,504.47237491607666,706.7062854766846,714.779007434845,492.2224521636963,210.81531047821045,1.919949054718017,73.421875,6400,1701,85.05,20.0,1.9891304347826086,0.639344262295082,0.12767735868692395,0.20690076053142548,0,0,17,607,serving_capacity_20260917
1,20.0,2.0,2,0,lookahead-actions,20.0,156,r1_hz20_rep0,40,40,40,40,0,0,2.0,2.0,0.0,192.1231746673584,198.57525825500488,200.24876356124878,3.7019729614257812,186.4790916442871,2.2657275199890132,15.0,400,340,17.0,20.0,1.0,1.525,0.1257269829511643,0.33373013138771057,0,0,12,27,serving_capacity_20260917
1,20.0,2.0,2,1,lookahead-actions,20.0,156,r1_hz20_rep1,40,40,40,40,0,0,2.0,2.0,0.0,194.0523386001587,198.42458963394165,198.61538171768188,4.936766624450684,186.66625022888184,4.429328441619871,15.0,400,340,17.0,20.0,1.0,1.5,0.12170689180493355,0.12506917119026184,0,0,20,19,serving_capacity_20260917
1,20.0,2.0,2,2,lookahead-actions,20.0,156,r1_hz20_rep2,40,40,40,40,0,0,2.0,2.0,0.0,192.86489486694336,198.2580065727234,200.9716796875,3.9216637611389156,186.03169918060303,2.360618114471434,15.25,400,339,16.95,20.0,1.0,1.5,0.12014582753181458,0.1634657382965088,0,0,20,19,serving_capacity_20260917
1,20.0,2.0,2,3,lookahead-actions,20.0,156,r1_hz20_rep3,40,40,40,40,0,0,2.0,2.0,0.0,192.00634956359863,196.07187509536743,196.5060830116272,3.6330699920654297,185.07146835327148,2.436530590057371,15.0,400,340,17.0,20.0,1.0,1.5,0.12075338512659071,0.126522034406662,0,0,0,39,serving_capacity_20260917
1,20.0,2.0,2,4,lookahead-actions,20.0,156,r1_hz20_rep4,40,40,40,40,0,0,2.0,2.0,0.0,190.52481651306152,194.12223100662231,196.44423246383667,4.128873348236084,184.3022108078003,2.711045742034911,15.0,400,340,17.0,20.0,1.0,1.5,0.12075364589691158,0.13885833323001862,0,0,20,19,serving_capacity_20260917
2,20.0,2.0,2,0,lookahead-actions,20.0,156,r2_hz20_rep0,80,80,80,80,0,0,4.0,4.0,0.0,252.21335887908936,319.2767143249512,322.73088693618774,150.57471990585327,175.4746437072754,2.084791660308838,22.5,800,620,31.0,20.0,1.0,2.2625,0.12100763618946075,1.3119839131832123,0,0,40,38,serving_capacity_20260917
2,20.0,2.0,2,1,lookahead-actions,20.0,156,r2_hz20_rep1,80,80,80,80,0,0,4.0,4.0,0.0,246.6564178466797,308.7892174720764,315.0781559944153,141.590678691864,174.8751401901245,2.398312091827392,22.125,800,623,31.15,20.0,1.0,2.1875,0.1244526356458664,0.17091631889343262,0,0,33,45,serving_capacity_20260917
2,20.0,2.0,2,2,lookahead-actions,20.0,156,r2_hz20_rep2,80,80,80,80,0,0,4.0,4.0,0.0,189.5679235458374,193.98995637893677,195.60980558395383,6.966984272003174,181.10454082489014,2.188718318939209,15.0,800,680,34.0,20.0,1.0,1.5,0.12386977672576904,0.19731000065803528,0,0,40,38,serving_capacity_20260917
2,20.0,2.0,2,3,lookahead-actions,20.0,156,r2_hz20_rep3,80,80,80,80,0,0,4.0,4.0,0.0,272.1351385116577,359.7938299179077,362.22334384918213,189.01904821395874,174.76916313171387,3.392636775970459,24.375,800,605,30.25,20.0,1.0,2.4625,0.12466076761484146,0.8823014795780182,0,0,15,63,serving_capacity_20260917
2,20.0,2.0,2,4,lookahead-actions,20.0,156,r2_hz20_rep4,80,80,80,80,0,0,4.0,4.0,0.0,183.7327480316162,196.87169790267944,198.3710527420044,6.116557121276855,175.59325695037842,2.3687720298767085,15.0,800,680,34.0,20.0,1.0,1.5,0.12591250240802768,0.16126781702041626,0,0,40,38,serving_capacity_20260917
3,20.0,2.0,2,0,lookahead-actions,20.0,156,r3_hz20_rep0,120,120,120,120,0,0,6.0,6.0,0.0,303.0816316604614,378.78074645996094,388.50305557250977,146.86018228530884,226.32265090942383,2.339959144592285,25.916666666666668,1200,889,44.45,20.0,1.5,2.566666666666667,0.12702122330665588,0.20219013094902039,0,0,19,98,serving_capacity_20260917
3,20.0,2.0,2,1,lookahead-actions,20.0,156,r3_hz20_rep1,120,120,120,120,0,0,6.0,6.0,0.0,335.5594873428345,373.11872243881226,375.3611207008362,138.68080377578735,226.3009548187256,2.219998836517334,26.416666666666668,1200,883,44.15,20.0,1.5,2.6666666666666665,0.12435225769877434,0.8720364421606064,0,0,51,66,serving_capacity_20260917
